Time [s], Intensity [dB],
0.046300, 22.643213,
0.046400, 1.483780,
0.046500, 35.239780,
0.046600, 34.674299,
0.046700, 34.413605,
0.046800, -22.266894,
0.046900, -52.358962,
0.047000, 1.085271,
0.047100, -60.682263,
0.047200, -22.613358,
0.047300, -14.146529,
0.047400, -37.944602,
0.047500, -20.797788,
0.047600, 38.621746,
0.047700, 50.271349,
0.047800, 10.123507,
0.047900, 2.999201,
0.048000, -25.606234,
0.048100, 19.840599,
0.048200, 1.258340,
0.048300, -9.930328,
0.048400, 64.675315,
0.048500, 98.266111,
0.048600, 137.535813,
0.048700, 61.095832,
0.048800, 17.457131,
0.048900, 10.272040,
0.049000, 2.476264,
0.049100, -68.256897,
0.049200, -47.745944,
0.049300, -49.300922,
0.049400, -41.349585,
0.049500, -51.390633,
0.049600, -72.635303,
0.049700, -89.006556,
0.049800, -60.903766,
0.049900, -39.995958,
0.050000, -42.148611,
0.050100, -47.947573,
0.050200, -19.424164,
0.050300, -43.024274,
0.050400, 14.232415,
0.050500, 1.304975,
0.050600, 26.207559,
0.050700, 41.201702,
0.050800, 58.313223,
0.050900, 63.125484,
0.051000, 141.218530,
0.051100, 151.702807,
0.051200, 41.471587,
0.051300, 36.200925,
0.051400, -2.314389,
0.051500, -15.881703,
0.051600, -25.530324,
0.051700, -34.667039,
0.051800, -4.527892,
0.051900, -55.449612,
0.052000, -48.665193,
0.052100, -24.820079,
0.052200, -40.587969,
0.052300, -15.777458,
0.052400, -36.566563,
0.052500, -18.463400,
0.052600, 26.492038,
0.052700, 6.023181,
0.052800, 1.021336,
0.052900, -27.623972,
0.053000, -32.972559,
0.053100, -29.137788,
0.053200, -32.159293,
0.053300, -10.879558,
0.053400, -23.626984,
0.053500, -12.624919,
0.053600, 18.822537,
0.053700, 3.307381,
0.053800, -22.755839,
0.053900, -33.605170,
0.054000, -40.226440,
0.054100, -10.678146,
0.054200, -9.648180,
0.054300, 33.154105,
0.054400, 33.726014,
0.054500, 72.934601,
0.054600, 40.031258,
0.054700, 72.204931,
0.054800, 9.261230,
0.054900, 9.075226,
0.055000, -38.259047,
0.055100, -44.531568,
0.055200, -14.791011,
0.055300, -21.638018,
0.055400, -29.570337,
0.055500, 7.386632,
0.055600, -21.683259,
0.055700, -29.620122,
0.055800, -27.470160,
0.055900, -5.081191,
0.056000, -50.465881,
0.056100, 55.768739,
0.056200, 24.844490,
0.056300, -0.703078,
0.056400, 3.197953,
0.056500, -22.887819,
0.056600, -16.167481,
0.056700, 86.828975,
0.056800, 48.916662,
0.056900, -15.174070,
0.057000, -5.917011,
0.057100, -42.229522,
0.057200, -43.465380,
0.057300, -32.990910,
0.057400, -32.858470,
0.057500, -32.656193,
0.057600, -3.574075,
0.057700, -13.610802,
0.057800, -5.249778,
0.057900, 89.848650,
0.058000, 19.042559,
0.058100, -16.194112,
0.058200, 36.203326,
0.058300, -18.187149,
0.058400, 37.000795,
0.058500, 69.744576,
0.058600, 63.641069,
0.058700, 125.190925,
0.058800, 40.103032,
0.058900, -9.128156,
0.059000, -31.575515,
0.059100, -38.267490,
0.059200, -57.329545,
0.059300, -43.046126,
0.059400, -49.682794,
0.059500, -44.143721,
0.059600, -64.600495,
0.059700, -48.072326,
0.059800, -38.299229,
0.059900, -10.164594,
0.060000, -22.871977,
